codigo_comuna,nombre_comuna,codigo_region,nombre_region,anio,id_metrica,nombre_metrica,valor,unidad,fuente,fecha_descarga
13117,Lo Prado,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13117,Lo Prado,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13117,Lo Prado,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13117,Lo Prado,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13117,Lo Prado,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13117,Lo Prado,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13117,Lo Prado,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13118,Macul,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,28.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,16.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,27.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,19.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13119,Maipú,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13120,Ñuñoa,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,21.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,8.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13121,Pedro Aguirre Cerda,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,6.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,7.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,9.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,12.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,13.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,15.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13122,Peñalolén,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,12.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13123,Providencia,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13124,Pudahuel,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,11.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13124,Pudahuel,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,19.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
